#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 366: Brighton, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type                Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1981-2010)        None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1981-2010)   None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Average (1981-2010)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of average (1981-2010)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brighton (366) 
# Utah  SNOTEL Site - 8766 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Oct 22, 2018 8:11:38 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1981-2010) (in) Start of Day Values,Snow Water Equivalent % of Median (1981-2010),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Average Precipitation Accumulation (1981-2010) (in) Start of Day Values,Precipitation Accumulation % of Average (1981-2010),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1986-11-18,6.6,2.8,236,,6.0,5.7,105,,,
1986-11-19,6.7,2.9,231,,6.3,5.9,107,,,
1986-11-20,6.8,3.0,227,,6.4,5.9,108,,,
1986-11-21,6.9,3.2,216,,6.6,6.1,108,,,
1986-11-22,7.6,3.3,230,,7.0,6.2,113,,,
1986-11-23,7.7,3.4,226,,7.0,6.4,109,,,
1986-11-24,7.8,3.5,223,,7.0,6.6,106,,,
1986-11-25,7.9,3.6,219,,7.2,6.7,107,,,
1986-11-26,7.9,3.7,214,,7.2,6.9,104,,,
1986-11-27,7.9,3.9,203,,7.2,7.1,101,,,
1986-11-28,7.9,4.0,198,,7.2,7.3,99,,,
1986-11-29,8.0,4.1,195,,7.3,7.4,99,,,
1986-11-30,8.3,4.3,193,,7.4,7.6,97,,,
1986-12-01,8.5,4.5,189,,7.4,7.6,97,,,
1986-12-02,8.6,4.6,187,,7.5,7.8,96,,,
1986-12-03,8.6,4.7,183,,7.6,7.9,96,,,
1986-12-04,8.6,4.8,179,,7.6,8.0,95,,,
1986-12-05,8.7,4.9,178,,7.7,8.2,94,,,
1986-12-06,8.8,5.0,176,,7.7,8.3,93,,,
1986-12-07,8.9,5.0,178,,7.7,8.5,91,,,
1986-12-08,8.9,5.1,175,,7.8,8.7,90,,,
1986-12-09,8.9,5.2,171,,7.8,8.9,88,,,
1986-12-10,8.9,5.2,171,,7.8,9.0,87,,,
1986-12-11,8.9,5.4,165,,7.8,9.1,86,,,
1986-12-12,8.9,5.6,159,,7.9,9.3,85,,,
1986-12-13,8.9,5.8,153,,7.9,9.4,84,,,
1986-12-14,8.9,6.0,148,,7.9,9.7,81,,,
1986-12-15,8.9,6.3,141,,7.9,9.8,81,,,
1986-12-16,8.9,6.5,137,,7.9,9.9,80,,,
1986-12-17,8.9,6.8,131,,7.9,10.0,79,,,
1986-12-18,8.9,7.0,127,,7.9,10.2,77,,,
1986-12-19,8.9,7.1,125,,7.9,10.2,77,,,
1986-12-20,8.9,7.3,122,,7.9,10.4,76,,,
1986-12-21,8.9,7.5,119,,7.9,10.5,75,,,
1986-12-22,8.9,7.6,117,,7.9,10.6,75,,,
1986-12-23,8.9,7.6,117,,7.9,10.8,73,,,
1986-12-24,8.9,7.7,116,,7.9,10.9,72,,,
1986-12-25,8.9,7.8,114,,7.9,11.0,72,,,
1986-12-26,8.9,7.9,113,,7.9,11.2,71,,,
1986-12-27,8.9,8.0,111,,7.9,11.3,70,,,
1986-12-28,8.9,8.1,110,,7.9,11.4,69,,,
1986-12-29,8.9,8.2,109,,7.9,11.5,69,,,
1986-12-30,8.9,8.3,107,,8.1,11.7,69,,,
1986-12-31,8.9,8.3,107,,8.1,11.9,68,,,
1987-01-01,8.9,8.4,106,,8.1,12.1,67,,,
1987-01-02,9.8,8.5,115,,9.3,12.3,76,,,
1987-01-03,9.9,8.6,115,,9.5,12.6,75,,,
1987-01-04,10.0,8.7,115,,9.7,12.7,76,,,
1987-01-05,11.2,8.9,126,,11.8,13.0,91,,,
1987-01-06,12.1,9.1,133,,12.5,13.3,94,,,
1987-01-07,12.2,9.3,131,,12.5,13.5,93,,,
1987-01-08,12.3,9.5,129,,12.6,13.7,92,,,
1987-01-09,12.4,9.6,129,,12.6,13.8,91,,,
1987-01-10,12.4,9.8,127,,12.6,14.1,89,,,
1987-01-11,12.4,9.9,125,,12.6,14.4,88,,,
1987-01-12,12.4,10.0,124,,12.6,14.7,86,,,
1987-01-13,12.4,10.2,122,,12.6,14.8,85,,,
1987-01-14,12.5,10.4,120,,12.6,14.9,85,,,
1987-01-15,12.5,10.5,119,,12.6,15.0,84,,,
1987-01-16,12.6,10.7,118,,12.6,15.2,83,,,
1987-01-17,12.6,10.9,116,,12.6,15.4,82,,,
1987-01-18,12.6,11.0,115,,12.6,15.5,81,,,
1987-01-19,12.7,11.2,113,,12.6,15.7,80,,,
1987-01-20,12.9,11.2,115,,12.6,15.8,80,,,
1987-01-21,12.9,11.4,113,,12.6,16.0,79,,,
1987-01-22,13.0,11.6,112,,12.6,16.1,78,,,
1987-01-23,13.0,11.8,110,,12.9,16.3,79,,,
1987-01-24,13.2,12.1,109,,13.0,16.4,79,,,
1987-01-25,13.4,12.4,108,,13.3,16.6,80,,,
1987-01-26,13.6,12.7,107,,13.4,16.8,80,,,
1987-01-27,13.6,13.0,105,,13.4,17.0,79,,,
1987-01-28,13.8,13.3,104,,13.7,17.1,80,,,
1987-01-29,14.9,13.5,110,,14.3,17.3,83,,,
1987-01-30,14.9,13.5,110,,14.6,17.4,84,,,
1987-01-31,14.9,13.6,110,,14.6,17.6,83,,,
1987-02-01,14.9,13.6,110,,14.6,17.7,82,,,
1987-02-02,14.9,13.7,109,,14.6,17.8,82,,,
1987-02-03,14.9,13.7,109,,14.6,17.9,82,,,
1987-02-04,14.9,13.8,108,,14.6,18.1,81,,,
1987-02-05,14.9,13.9,107,,14.6,18.1,81,,,
1987-02-06,14.9,14.0,106,,14.6,18.2,80,,,
1987-02-07,14.9,14.2,105,,14.6,18.3,80,,,
1987-02-08,14.9,14.3,104,,14.6,18.4,79,,,
1987-02-09,14.9,14.4,103,,14.6,18.6,78,,,
1987-02-10,14.9,14.6,102,,14.7,18.8,78,,,
1987-02-11,14.9,14.7,101,,14.7,18.9,78,,,
1987-02-12,14.9,14.8,101,,14.7,19.1,77,,,
1987-02-13,15.0,14.9,101,,14.8,19.2,77,,,
1987-02-14,16.2,15.0,108,,16.0,19.4,82,,,
1987-02-15,16.5,15.2,109,,16.2,19.6,83,,,
1987-02-16,16.7,15.5,108,,16.3,19.8,82,,,
1987-02-17,16.8,15.7,107,,16.3,19.9,82,,,
1987-02-18,16.9,16.0,106,,16.3,20.1,81,,,
1987-02-19,17.0,16.2,105,,16.4,20.3,81,,,
1987-02-20,17.2,16.4,105,,16.4,20.5,80,,,
1987-02-21,17.2,16.6,104,,16.4,20.8,79,,,
1987-02-22,17.2,16.7,103,,16.4,20.9,78,,,
1987-02-23,17.3,16.8,103,,16.6,21.1,79,,,
1987-02-24,18.0,16.9,107,,17.4,21.2,82,,,
1987-02-25,18.4,17.1,108,,17.6,21.5,82,,,
1987-02-26,18.5,17.3,107,,17.6,21.6,81,,,
1987-02-27,18.5,17.4,106,,17.6,21.8,81,,,
1987-02-28,18.5,17.6,105,,17.6,21.9,80,,,
1987-03-01,18.5,17.8,104,,17.7,22.1,80,,,
1987-03-02,18.5,17.9,103,,17.8,22.3,80,,,
1987-03-03,18.5,18.0,103,,17.8,22.3,80,,,
1987-03-04,18.5,18.1,102,,17.9,22.5,80,,,
1987-03-05,18.5,18.2,102,,17.9,22.7,79,,,
1987-03-06,18.5,18.3,101,,17.9,22.9,78,,,
1987-03-07,18.5,18.5,100,,17.9,23.0,78,,,
1987-03-08,18.5,18.7,99,,17.9,23.1,77,,,
1987-03-09,18.6,18.8,99,,18.2,23.2,78,,,
1987-03-10,18.8,19.0,99,,18.4,23.4,79,,,
1987-03-11,18.9,19.1,99,,18.5,23.6,78,,,
1987-03-12,19.4,19.3,101,,18.8,23.7,79,,,
1987-03-13,19.4,19.5,99,,19.1,23.8,80,,,
1987-03-14,20.2,19.5,104,,19.5,23.9,82,,,
1987-03-15,20.3,19.6,104,,19.8,24.1,82,,,
1987-03-16,21.1,19.6,108,,20.6,24.2,85,,,
1987-03-17,21.7,19.6,111,,21.1,24.4,86,,,
1987-03-18,21.8,19.7,111,,21.2,24.6,86,,,
1987-03-19,22.4,19.8,113,,21.6,24.7,87,,,
1987-03-20,22.7,19.9,114,,21.6,24.9,87,,,
1987-03-21,22.9,20.0,115,,21.6,24.9,87,,,
1987-03-22,23.0,20.1,114,,21.8,25.1,87,,,
1987-03-23,23.1,20.3,114,,22.0,25.2,87,,,
1987-03-24,23.1,20.4,113,,22.0,25.4,87,,,
1987-03-25,23.3,20.6,113,,22.1,25.6,86,,,
1987-03-26,23.4,20.7,113,,22.1,25.7,86,,,
1987-03-27,23.9,20.9,114,,22.5,25.8,87,,,
1987-03-28,24.2,21.1,115,,22.7,26.0,87,,,
1987-03-29,24.5,21.3,115,,22.8,26.2,87,,,
1987-03-30,24.6,21.6,114,,22.8,26.4,86,,,
1987-03-31,24.6,21.8,113,,23.0,26.5,87,,,
1987-04-01,24.6,22.1,111,,23.0,26.6,86,,,
1987-04-02,24.6,22.4,110,,23.0,26.8,86,,,
1987-04-03,24.4,22.6,108,,23.1,27.0,86,,,
1987-04-04,24.3,22.8,107,,23.2,27.1,86,,,
1987-04-05,24.2,23.0,105,,23.2,27.3,85,,,
1987-04-06,24.2,23.3,104,,23.3,27.4,85,,,
1987-04-07,24.6,23.4,105,,23.3,27.5,85,,,
1987-04-08,24.6,23.5,105,,23.3,27.7,84,,,
1987-04-09,24.6,23.6,104,,23.3,27.8,84,,,
1987-04-10,24.6,23.6,104,,23.3,28.0,83,,,
1987-04-11,24.6,23.5,105,,23.3,28.1,83,,,
1987-04-12,24.6,23.5,105,,23.3,28.2,83,,,
1987-04-13,24.6,23.5,105,,23.3,28.3,82,,,
1987-04-14,24.7,23.4,106,,23.4,28.3,83,,,
1987-04-15,24.7,23.3,106,,23.5,28.5,82,,,
1987-04-16,24.7,23.1,107,,23.5,28.6,82,,,
1987-04-17,24.2,23.0,105,,23.5,28.7,82,,,
1987-04-18,23.5,22.7,104,,23.5,28.9,81,,,
1987-04-19,23.4,22.3,105,,23.5,29.1,81,,,
1987-04-20,23.3,22.0,106,,23.6,29.2,81,,,
1987-04-21,23.1,21.6,107,,23.6,29.3,81,,,
1987-04-22,22.8,21.3,107,,23.6,29.5,80,,,
1987-04-23,22.0,20.9,105,,23.7,29.6,80,,,
1987-04-24,20.9,20.6,101,,23.7,29.7,80,,,
1987-04-25,19.6,20.4,96,,23.7,29.8,80,,,
1987-04-26,18.5,20.2,92,,23.7,30.0,79,,,
1987-04-27,17.9,20.1,89,,23.7,30.1,79,,,
1987-04-28,17.1,20.0,86,,23.7,30.2,78,,,
1987-04-29,15.8,20.1,79,,23.7,30.4,78,,,
1987-04-30,15.0,20.2,74,,23.8,30.5,78,,,
1987-05-01,14.3,20.3,70,,24.0,30.6,78,,,
1987-05-02,14.0,20.3,69,,24.4,30.8,79,,,
1987-05-03,14.4,20.1,72,,24.4,30.9,79,,,
1987-05-04,13.8,19.8,70,,24.5,31.1,79,,,
1987-05-05,12.8,19.4,66,,24.5,31.3,78,,,
1987-05-06,11.8,18.8,63,,24.5,31.4,78,,,
1987-05-07,10.8,18.2,59,,24.5,31.5,78,,,
1987-05-08,9.7,17.4,56,,24.5,31.7,77,,,
1987-05-09,8.5,16.5,52,,24.5,31.8,77,,,
1987-05-10,7.7,15.6,49,,24.5,31.8,77,,,
1987-05-11,7.0,14.8,47,,24.5,31.9,77,,,
1987-05-12,5.7,14.2,40,,24.5,32.1,76,,,
1987-05-13,3.6,13.5,27,,24.5,32.2,76,,,
1987-05-14,1.3,12.9,10,,24.6,32.3,76,,,
1987-05-15,0.9,12.3,7,,24.6,32.4,76,,,
1987-05-16,0.0,11.8,0,,24.6,32.5,76,,,
1987-05-17,0.0,11.1,0,,24.6,32.5,76,,,
1987-05-18,0.0,10.4,0,,24.8,32.6,76,,,
1987-05-19,0.1,9.5,1,,25.1,32.6,77,,,
1987-05-20,0.1,8.2,1,,25.2,32.7,77,,,
1987-05-21,0.1,6.9,1,,25.5,32.7,78,,,
1987-05-22,0.1,5.7,2,,25.6,32.8,78,,,
1987-05-23,0.2,4.5,4,,25.7,32.9,78,,,
1987-05-24,0.2,3.3,6,,26.1,33.0,79,,,
1987-05-25,0.3,2.2,14,,26.2,33.1,79,,,
1987-05-26,0.3,1.4,21,,26.8,33.2,81,,,
1987-05-27,0.3,0.7,43,,27.1,33.4,81,,,
1987-05-28,0.3,0.3,100,,27.2,33.4,81,,,
1987-05-29,0.2,0.1,200,,27.3,33.4,82,,,
1987-05-30,0.1,0.0,,,27.3,33.5,81,,,
1987-05-31,0.0,0.0,,,27.4,33.6,82,,,
1987-06-01,0.0,0.0,,,27.4,33.7,81,,,
1987-06-02,0.0,0.0,,,27.4,33.8,81,,,
1987-06-03,0.0,0.0,,,27.4,33.9,81,,,
1987-06-04,0.0,0.0,,,27.4,34.0,81,,,
1987-06-05,0.0,0.0,,,27.5,34.1,81,,,
1987-06-06,0.0,0.0,,,27.5,34.2,80,,,
1987-06-07,0.0,0.0,,,27.7,34.3,81,,,
1987-06-08,0.0,0.0,,,27.7,34.4,81,,,
1987-06-09,0.0,0.0,,,27.7,34.5,80,,,
1987-06-10,0.0,0.0,,,27.9,34.7,80,,,
1987-06-11,0.0,0.0,,,28.0,34.8,80,,,
1987-06-12,0.0,0.0,,,28.0,34.9,80,,,
1987-06-13,0.0,0.0,,,28.0,35.0,80,,,
1987-06-14,0.0,0.0,,,28.0,35.1,80,,,
1987-06-15,0.0,0.0,,,28.0,35.1,80,,,
1987-06-16,0.0,0.0,,,28.0,35.2,80,,,
1987-06-17,0.0,0.0,,,28.0,35.2,80,,,
1987-06-18,0.0,0.0,,,28.0,35.3,79,,,
1987-06-19,0.0,0.0,,,28.0,35.4,79,,,
1987-06-20,0.0,0.0,,,28.0,35.4,79,,,
1987-06-21,0.0,0.0,,,28.0,35.4,79,,,
1987-06-22,0.0,0.0,,,28.0,35.5,79,,,
1987-06-23,0.0,0.0,,,28.0,35.5,79,,,
1987-06-24,0.0,0.0,,,28.0,35.6,79,,,
1987-06-25,0.0,0.0,,,28.0,35.6,79,,,
1987-06-26,0.0,0.0,,,28.0,35.6,79,,,
1987-06-27,0.0,0.0,,,28.0,35.6,79,,,
1987-06-28,0.0,0.0,,,28.0,35.6,79,,,
1987-06-29,0.0,0.0,,,28.1,35.6,79,,,
1987-06-30,0.0,0.0,,,28.7,35.7,80,,,
1987-07-01,0.0,0.0,,,28.7,35.7,80,,,
1987-07-02,0.0,0.0,,,28.7,35.7,80,,,
1987-07-03,0.0,0.0,,,28.7,35.7,80,,,
1987-07-04,0.0,0.0,,,28.7,35.8,80,,,
1987-07-05,0.0,0.0,,,28.7,35.8,80,,,
1987-07-06,0.0,0.0,,,28.7,35.8,80,,,
1987-07-07,0.0,0.0,,,28.7,35.8,80,,,
1987-07-08,0.0,0.0,,,28.7,35.8,80,,,
1987-07-09,0.0,0.0,,,28.7,35.9,80,,,
1987-07-10,0.0,0.0,,,28.7,35.9,80,,,
1987-07-11,0.0,0.0,,,29.1,35.9,81,,,
1987-07-12,0.0,0.0,,,29.1,36.0,81,,,
1987-07-13,0.0,0.0,,,29.1,36.0,81,,,
1987-07-14,0.0,0.0,,,29.1,36.0,81,,,
1987-07-15,0.0,0.0,,,29.1,36.1,81,,,
1987-07-16,0.0,0.0,,,29.1,36.1,81,,,
1987-07-17,0.0,0.0,,,29.5,36.2,81,,,
1987-07-18,0.0,0.0,,,30.4,36.3,84,,,
1987-07-19,0.0,0.0,,,30.4,36.3,84,,,
1987-07-20,0.0,0.0,,,30.5,36.3,84,,,
1987-07-21,0.0,0.0,,,31.5,36.4,87,,,
1987-07-22,0.0,0.0,,,31.6,36.4,87,,,
1987-07-23,0.0,0.0,,,32.2,36.5,88,,,
1987-07-24,0.0,0.0,,,32.2,36.6,88,,,
1987-07-25,0.0,0.0,,,32.2,36.6,88,,,
1987-07-26,0.0,0.0,,,32.2,36.7,88,,,
1987-07-27,0.0,0.0,,,32.3,36.8,88,,,
1987-07-28,0.0,0.0,,,32.3,36.8,88,,,
1987-07-29,0.0,0.0,,,32.3,36.8,88,,,
1987-07-30,0.0,0.0,,,32.3,36.9,88,,,
1987-07-31,0.0,0.0,,,32.3,36.9,88,,,
1987-08-01,0.0,0.0,,,32.3,36.9,88,,,
1987-08-02,0.0,0.0,,,32.3,37.0,87,,,
1987-08-03,0.0,0.0,,,32.3,37.1,87,,,
1987-08-04,0.0,0.0,,,32.3,37.1,87,,,
1987-08-05,0.0,0.0,,,32.3,37.2,87,,,
1987-08-06,0.0,0.0,,,32.3,37.3,87,,,
1987-08-07,0.0,0.0,,,32.5,37.3,87,,,
1987-08-08,0.0,0.0,,,32.5,37.3,87,,,
1987-08-09,0.0,0.0,,,32.5,37.4,87,,,
1987-08-10,0.0,0.0,,,32.5,37.4,87,,,
1987-08-11,0.0,0.0,,,32.5,37.5,87,,,
1987-08-12,0.0,0.0,,,32.5,37.6,86,,,
1987-08-13,0.0,0.0,,,32.5,37.6,86,,,
1987-08-14,0.0,0.0,,,33.0,37.7,88,,,
1987-08-15,0.0,0.0,,,34.0,37.7,90,,,
1987-08-16,0.0,0.0,,,34.2,37.8,90,,,
1987-08-17,0.0,0.0,,,34.2,37.9,90,,,
1987-08-18,0.0,0.0,,,34.2,37.9,90,,,
1987-08-19,0.0,0.0,,,34.2,37.9,90,,,
1987-08-20,0.0,0.0,,,34.2,38.0,90,,,
1987-08-21,0.0,0.0,,,34.2,38.1,90,,,
1987-08-22,0.0,0.0,,,34.4,38.2,90,,,
1987-08-23,0.0,0.0,,,34.4,38.3,90,,,
1987-08-24,0.0,0.0,,,34.9,38.4,91,,,
1987-08-25,0.0,0.0,,,35.0,38.4,91,,,
1987-08-26,0.0,0.0,,,35.0,38.5,91,,,
1987-08-27,0.0,0.0,,,35.0,38.5,91,,,
1987-08-28,0.0,0.0,,,35.0,38.5,91,,,
1987-08-29,0.0,0.0,,,35.0,38.6,91,,,
1987-08-30,0.0,0.0,,,35.0,38.6,91,,,
1987-08-31,0.0,0.0,,,35.0,38.7,90,,,
1987-09-01,0.0,0.0,,,35.0,38.8,90,,,
1987-09-02,0.0,0.0,,,35.0,38.9,90,,,
1987-09-03,0.0,0.0,,,35.0,38.9,90,,,
1987-09-04,0.0,0.0,,,35.3,39.0,91,,,
